state	statefip	abbrev	ind1955	ind1956	ind1957	ind1958	ind1959	ind1960	ind1961	ind1962	ind1963	ind1964	ind1965	ind1966	ind19671	ind19672	ind19681	ind19682	ind19691	ind19692	ind19701	ind19702	ind19711	ind19712	ind19721	ind19722	enr1961	enr1962	enr1963	enr1964	enr1965	enr1966	enr1967	enr1968	enr1969	enr1970	enr1971	enr1972
ALABAMA	1	AL	4626	2506	3335	2404	2371	1575	1378	3594	1588	2595	1785	5506	1951	2978	3906	1681	3711	2309	1923	1533	1671	144	197	520	75351	86234	40258	40764	45160	52071	53005	55413	53270	54970	56207	55946
ALASKA	2	AK	123	70	166	107	127	72	71	154	77	210	106	251	120	108	108	110	121	108	73	75	99	17	17	36	1746	2432	1965	2071	2551	2802	3022	3073	3379	3800	4137	4395
ARIZONA 	4	AZ	829	565	738	581	560	468	351	814	408	781	605	1940	1302	1174	1670	517	1304	1081	915	700	725	102	170	362	15013	17594	16954	17089	22911	23606	23871	23315	24000	26952	28209	29906
ARKANSAS	5	AR	2839	1686	1949	1719	1122	897	566	1482	843	1290	1142	3302	1129	1625	1919	705	1951	1145	1044	837	1064	75	178	385	45479	45535	23362	23354	31078	30512	30519	30209	29964	30990	31661	32253
CALIFORNIA 	6	CA	12215	8218	9756	8054	7725	5566	4623	10199	4984	11925	8835	31777	14225	14834	21035	7835	13830	9345	7083	6204	7801	1008	1701	3398	250294	267900	181446	223000	239600	261500	273000	276712	287854	300218	308300	319994
COLORADO 	8	CO	1341	997	1110	834	852	632	419	1057	535	1112	712	2586	1026	1366	1578	641	1428	864	981	804	838	124	178	411	34213	37231	21171	25500	30572	30929	31646	31832	33694	35307	36551	38456
CONNECTICUT	9	CT	2286	1545	2126	1253	1066	746	528	1405	844	1569	1125	3933	1755	1368	2150	1069	1728	1239	682	774	634	127	133	373	32324	34216	25069	30759	34748	33992	33934	34478	36242	39081	39628	41622
DELAWARE	10	DE	485	169	342	209	142	112	76	267	129	304	210	843	415	370	517	337	387	330	130	140	178	17	26	60	8091	8659	4641	5405	6459	6188	6744	6897	7407	7942	8280	8864
FLORIDA	12	FL	2700	1747	2529	2200	1647	1462	1092	3393	1729	3191	2314	7868	2343	3242	4833	1898	4536	2602	2241	1923	2368	309	411	933	92834	100908	57186	64546	73589	75337	76577	79238	84471	88784	92875	96389
GEORGIA	13	GA	4610	2549	4128	2257	2110	1379	1268	3871	1782	2948	1971	8843	3956	3625	5182	2634	4636	2841	2624	2225	2478	280	273	934	68838	71315	44540	53277	60121	62390	62228	63981	65390	67441	68220	68422
HAWAII	15	HI	689	344	516	339	351	168	139	434	191	471	347	846	589	350	579	238	349	260	202	157	173	19	30	81	14044	14821	8629	9397	10310	9917	10209	10321	10641	11280	11578	12218
IDAHO	16	ID	860	543	704	469	457	297	190	478	229	326	285	765	314	336	593	312	556	421	342	271	341	46	53	142	15862	17510	10315	10617	12926	12679	12782	12693	13088	13784	13746	14297
ILLINOIS	17	IL	12582	8111	11308	8117	7474	6920	4233	9773	5255	10195	7734	23175	11682	7177	11591	4674	9487	6988	6818	5153	6023	460	834	2360	102503	113543	97695	112574	143662	132486	142029	139154	147436	152881	154601	160600
INDIANA	18	IN	5434	3558	4412	3097	2816	2330	1478	4018	1897	3847	2448	11305	6203	3373	5119	2386	5036	3517	2939	1968	2564	293	525	1126	91650	68509	55106	60741	74203	72929	73514	73134	77560	81025	81184	84049
IOWA	19	IA	4024	2137	2314	1814	1806	1245	756	2049	1011	2095	1464	5122	2182	1901	3802	1440	2717	1796	1573	1187	1420	239	234	584	47728	49115	33719	36244	44491	42718	43531	44234	47062	47213	46694	47817
KANSAS	20	KS	2818	1704	2149	1371	1399	923	606	1381	506	1203	657	2631	1429	1338	1901	905	1714	1255	932	626	731	59	129	264	27504	28250	27283	28283	32116	34152	34257	34833	36810	37804	38318	38722
KENTUCKY	21	KY	4882	2596	3146	2506	2407	1790	1262	3466	1856	3180	1949	6597	3157	2516	4824	1814	4311	2504	2292	1552	1822	240	292	742	42435	43688	30063	37386	42141	41964	42308	42458	44469	45004	45282	47407
LOUISIANA	22	LA	3117	2045	2417	1998	1960	1223	1047	3037	1579	2140	1581	4547	2556	1985	3225	1669	3950	2800	2602	1626	1719	191	325	698	37706	38750	34468	37968	40919	45603	46823	47973	50086	51338	52263	52115
MAINE	23	ME	1055	821	820	562	539	341	203	617	314	647	538	1228	452	594	802	401	697	467	382	353	335	34	67	172	11699	12221	9892	10899	14085	13679	13952	12966	14205	16799	15625	16584
MARYLAND	24	MD	2867	2097	2534	1784	1489	1222	948	2466	942	2158	1061	4827	2283	2257	3607	1406	2877	1871	1348	902	1092	94	163	451	58474	62335	33701	38730	46678	46875	47860	48449	50502	52664	54827	57598
MASSACHUSETTS	25	MA	5521	3454	4783	2223	1682	1425	1024	2552	1188	2424	1226	4281	2293	2017	2969	2044	2390	1802	971	1023	1033	170	202	478	68512	69320	49527	61785	66245	67307	68000	70040	70445	74123	74833	77911
MICHIGAN	26	MI	10122	6950	7813	5859	6922	5177	2449	7355	3503	5604	4909	18685	10083	7720	12025	5490	9530	7034	5508	3362	5158	517	862	1795	152518	158801	86082	97239	117580	121921	121500	125675	127800	133997	136443	137383
MINNESOTA	27	MN	5064	2654	3538	2262	2472	1635	1092	2872	1256	3134	2299	6589	2025	2520	4291	1809	4030	2454	2107	1876	1730	328	276	747	68723	69645	42607	49601	57414	56435	58487	58704	63624	64743	65917	67596
MISSISSIPPI	28	MS	2528	1461	1800	1347	1150	701	549	1448	777	1397	1222	2688	1095	1448	2318	919	2339	1283	1217	838	1096	107	116	423	28250	47000	26567	28625	32645	34191	33885	33642	34896	35884	35411	33712
MISSOURI	29	MO	4236	3178	4181	2716	2899	1965	1554	3502	1456	2974	1902	8202	6258	3164	5110	2546	5404	3720	2988	2305	2280	247	434	968	48700	49088	45645	45645	52471	60082	61956	61759	62276	64505	68300	67951
MONTANA	30	MT	635	768	664	501	525	324	177	529	273	622	288	1043	419	531	721	333	464	346	388	289	272	48	51	130	11634	11655	8752	9596	11228	11339	11564	11695	12027	12724	12806	13018
NEBRASKA	31	NE	2129	1691	1872	1100	817	552	447	946	543	1323	804	2262	874	887	1396	694	1458	1098	879	565	778	103	169	371	19821	22420	16629	18174	22117	21553	22070	22050	23179	23622	23460	24260
