statefips	abbrev	year	table_age	age	totalpop
1	AL	1960	< 1	0	79201
1	AL	1960	1	1	78435
1	AL	1960	2	2	77436
1	AL	1960	3	3	78261
1	AL	1960	4	4	77070
1	AL	1960	5	5	77380
1	AL	1960	6	6	74552
1	AL	1960	7	7	73984
1	AL	1960	8	8	71488
1	AL	1960	9	9	70454
1	AL	1960	10	10	71897
1	AL	1960	11	11	72024
1	AL	1960	12	12	74642
1	AL	1960	13	13	72424
1	AL	1960	14	14	59304
1	AL	1960	15	15	60623
1	AL	1960	16	16	60638
1	AL	1960	17	17	60204
1	AL	1960	18	18	51787
1	AL	1960	19	19	46229
1	AL	1960	20	20	44329
1	AL	1960	>21	21	1834378
2	AK	1960	< 1	0	7101
2	AK	1960	1	1	7064
2	AK	1960	2	2	6933
2	AK	1960	3	3	6739
2	AK	1960	4	4	6356
2	AK	1960	5	5	6040
2	AK	1960	6	6	5783
2	AK	1960	7	7	5367
2	AK	1960	8	8	4821
2	AK	1960	9	9	4578
2	AK	1960	10	10	4456
2	AK	1960	11	11	4329
2	AK	1960	12	12	3985
2	AK	1960	13	13	3857
2	AK	1960	14	14	2894
2	AK	1960	15	15	2927
2	AK	1960	16	16	2920
2	AK	1960	17	17	2746
2	AK	1960	18	18	3596
2	AK	1960	19	19	5010
2	AK	1960	20	20	5034
2	AK	1960	>21	21	123631
4	AZ	1960	< 1	0	34599
4	AZ	1960	1	1	33544
4	AZ	1960	2	2	33630
4	AZ	1960	3	3	32811
4	AZ	1960	4	4	32382
4	AZ	1960	5	5	32148
4	AZ	1960	6	6	31230
4	AZ	1960	7	7	30899
4	AZ	1960	8	8	29446
4	AZ	1960	9	9	28546
4	AZ	1960	10	10	28105
4	AZ	1960	11	11	28096
4	AZ	1960	12	12	28220
4	AZ	1960	13	13	27323
4	AZ	1960	14	14	21817
4	AZ	1960	15	15	21718
4	AZ	1960	16	16	21992
4	AZ	1960	17	17	20923
4	AZ	1960	18	18	18782
4	AZ	1960	19	19	17261
4	AZ	1960	20	20	17007
4	AZ	1960	>21	21	731682
5	AR	1960	< 1	0	39408
5	AR	1960	1	1	39008
5	AR	1960	2	2	38727
5	AR	1960	3	3	38797
5	AR	1960	4	4	38503
5	AR	1960	5	5	38915
5	AR	1960	6	6	38364
5	AR	1960	7	7	37835
5	AR	1960	8	8	36919
5	AR	1960	9	9	36080
5	AR	1960	10	10	37588
5	AR	1960	11	11	38241
5	AR	1960	12	12	39214
5	AR	1960	13	13	39265
5	AR	1960	14	14	32795
5	AR	1960	15	15	33415
5	AR	1960	16	16	33177
5	AR	1960	17	17	32572
5	AR	1960	18	18	28091
5	AR	1960	19	19	23900
5	AR	1960	20	20	22189
5	AR	1960	>21	21	1043269
6	CA	1960	< 1	0	352989
6	CA	1960	1	1	351267
6	CA	1960	2	2	352544
6	CA	1960	3	3	345731
6	CA	1960	4	4	343268
6	CA	1960	5	5	336816
6	CA	1960	6	6	330282
6	CA	1960	7	7	325078
6	CA	1960	8	8	309134
6	CA	1960	9	9	298842
6	CA	1960	10	10	298454
6	CA	1960	11	11	294794
6	CA	1960	12	12	300281
6	CA	1960	13	13	294951
6	CA	1960	14	14	229264
6	CA	1960	15	15	227488
6	CA	1960	16	16	225157
6	CA	1960	17	17	233147
6	CA	1960	18	18	211304
6	CA	1960	19	19	198926
6	CA	1960	20	20	197309
6	CA	1960	>21	21	9660178
8	CO	1960	< 1	0	42560
8	CO	1960	1	1	41927
8	CO	1960	2	2	41966
8	CO	1960	3	3	41518
8	CO	1960	4	4	41137
8	CO	1960	5	5	40665
8	CO	1960	6	6	39870
8	CO	1960	7	7	39278
8	CO	1960	8	8	37629
8	CO	1960	9	9	35762
8	CO	1960	10	10	35549
8	CO	1960	11	11	34843
8	CO	1960	12	12	35168
8	CO	1960	13	13	34706
8	CO	1960	14	14	26480
8	CO	1960	15	15	26750
8	CO	1960	16	16	26873
8	CO	1960	17	17	26458
8	CO	1960	18	18	26468
8	CO	1960	19	19	24177
8	CO	1960	20	20	22900
8	CO	1960	>21	21	1031263
9	CT	1960	< 1	0	55389
9	CT	1960	1	1	56635
9	CT	1960	2	2	56677
9	CT	1960	3	3	54708
9	CT	1960	4	4	54879
9	CT	1960	5	5	53212
9	CT	1960	6	6	51180
9	CT	1960	7	7	50535
9	CT	1960	8	8	48198
9	CT	1960	9	9	44650
9	CT	1960	10	10	44792
9	CT	1960	11	11	45591
9	CT	1960	12	12	47100
9	CT	1960	13	13	47347
9	CT	1960	14	14	36381
9	CT	1960	15	15	36214
9	CT	1960	16	16	37892
9	CT	1960	17	17	39135
9	CT	1960	18	18	30591
9	CT	1960	19	19	26579
9	CT	1960	20	20	26088
9	CT	1960	>21	21	1591461
10	DE	1960	< 1	0	11246
10	DE	1960	1	1	11274
10	DE	1960	2	2	11322
10	DE	1960	3	3	10917
10	DE	1960	4	4	10648
10	DE	1960	5	5	10455
10	DE	1960	6	6	9868
10	DE	1960	7	7	9757
10	DE	1960	8	8	9124
10	DE	1960	9	9	8679
10	DE	1960	10	10	8289
10	DE	1960	11	11	8538
10	DE	1960	12	12	8608
10	DE	1960	13	13	8377
10	DE	1960	14	14	6466
10	DE	1960	15	15	6586
10	DE	1960	16	16	6387
10	DE	1960	17	17	6498
10	DE	1960	18	18	5609
10	DE	1960	19	19	5119
10	DE	1960	20	20	5276
10	DE	1960	>21	21	267249
11	DC	1960	< 1	0	17035
11	DC	1960	1	1	16262
11	DC	1960	2	2	15590
11	DC	1960	3	3	14671
11	DC	1960	4	4	14577
11	DC	1960	5	5	13900
11	DC	1960	6	6	13178
11	DC	1960	7	7	12706
11	DC	1960	8	8	11762
11	DC	1960	9	9	11804
11	DC	1960	10	10	11327
11	DC	1960	11	11	11233
11	DC	1960	12	12	11070
11	DC	1960	13	13	10217
11	DC	1960	14	14	8280
11	DC	1960	15	15	8372
11	DC	1960	16	16	8425
11	DC	1960	17	17	9166
11	DC	1960	18	18	11561
11	DC	1960	19	19	11898
11	DC	1960	20	20	11792
11	DC	1960	>21	21	509110
12	FL	1960	< 1	0	110634
12	FL	1960	1	1	109378
12	FL	1960	2	2	108390
12	FL	1960	3	3	106915
12	FL	1960	4	4	105784
12	FL	1960	5	5	103974
12	FL	1960	6	6	101387
12	FL	1960	7	7	99246
12	FL	1960	8	8	94934
12	FL	1960	9	9	90989
12	FL	1960	10	10	89872
12	FL	1960	11	11	90220
12	FL	1960	12	12	91954
12	FL	1960	13	13	90265
12	FL	1960	14	14	72872
12	FL	1960	15	15	72501
12	FL	1960	16	16	72036
12	FL	1960	17	17	69923
12	FL	1960	18	18	63048
12	FL	1960	19	19	59979
12	FL	1960	20	20	59560
12	FL	1960	>21	21	3087699
13	GA	1960	< 1	0	96551
13	GA	1960	1	1	94846
13	GA	1960	2	2	94035
13	GA	1960	3	3	93866
13	GA	1960	4	4	92603
13	GA	1960	5	5	92568
13	GA	1960	6	6	89462
13	GA	1960	7	7	89159
13	GA	1960	8	8	85206
13	GA	1960	9	9	83803
13	GA	1960	10	10	85413
13	GA	1960	11	11	84693
13	GA	1960	12	12	87950
13	GA	1960	13	13	84766
13	GA	1960	14	14	68828
13	GA	1960	15	15	70015
13	GA	1960	16	16	68997
13	GA	1960	17	17	70383
13	GA	1960	18	18	63670
13	GA	1960	19	19	58489
13	GA	1960	20	20	56438
13	GA	1960	>21	21	2231375
15	HI	1960	< 1	0	16854
15	HI	1960	1	1	16243
15	HI	1960	2	2	16100
15	HI	1960	3	3	15828
15	HI	1960	4	4	15937
15	HI	1960	5	5	15614
15	HI	1960	6	6	14943
15	HI	1960	7	7	14947
15	HI	1960	8	8	14016
15	HI	1960	9	9	13258
15	HI	1960	10	10	13295
15	HI	1960	11	11	13345
15	HI	1960	12	12	13239
15	HI	1960	13	13	12664
15	HI	1960	14	14	11475
15	HI	1960	15	15	11690
15	HI	1960	16	16	11194
15	HI	1960	17	17	10271
15	HI	1960	18	18	10105
15	HI	1960	19	19	11561
15	HI	1960	20	20	11863
15	HI	1960	>21	21	348330
16	ID	1960	< 1	0	16631
16	ID	1960	1	1	16470
16	ID	1960	2	2	16386
16	ID	1960	3	3	16342
16	ID	1960	4	4	16343
16	ID	1960	5	5	16380
16	ID	1960	6	6	16259
16	ID	1960	7	7	15994
16	ID	1960	8	8	15456
16	ID	1960	9	9	14567
16	ID	1960	10	10	14763
16	ID	1960	11	11	14839
16	ID	1960	12	12	14932
16	ID	1960	13	13	14437
16	ID	1960	14	14	11650
16	ID	1960	15	15	12004
16	ID	1960	16	16	12511
16	ID	1960	17	17	11920
